Property,Value,Percentile
molecular_weight,284.7460,35.975395430579965
logP,3.1538,63.514938488576455
hydrogen_bond_acceptors,2,17.10017574692443
hydrogen_bond_donors,0,11.63444639718805
Lipinski,4.0000,63.44463971880493
QED,0.7916,87.80316344463972
stereo_centers,0,22.601054481546576
tpsa,32.6700,16.485061511423552
PAINS_alert,0,47.59226713532514
BRENK_alert,0,25.869947275922673
NIH_alert,0,37.188049209138846
AMES,0.0636,17.3286467486819
BBB_Martins,0.9846,92.79437609841828
Bioavailability_Ma,0.9125,83.30404217926187
CYP1A2_Veith,0.9178,95.50087873462215
CYP2C19_Veith,0.8473,95.95782073813709
CYP2C9_Substrate_CarbonMangels,0.3317,90.7908611599297
CYP2C9_Veith,0.5115,90.33391915641477
CYP2D6_Substrate_CarbonMangels,0.2333,71.45869947275924
CYP2D6_Veith,0.0980,60.07029876977153
CYP3A4_Substrate_CarbonMangels,0.5583,62.35500878734623
CYP3A4_Veith,0.1405,62.91739894551846
Carcinogens_Lagunin,0.0895,27.135325131810195
ClinTox,0.0405,26.46748681898067
DILI,0.7548,69.56063268892795
HIA_Hou,1.0000,96.3444639718805
NR-AR-LBD,0.0020,11.810193321616874
NR-AR,0.0195,39.43760984182777
NR-AhR,0.1736,79.33216168717048
NR-Aromatase,0.0310,56.06326889279438
NR-ER-LBD,0.0097,34.692442882249566
NR-ER,0.1325,70.05272407732865
NR-PPAR-gamma,0.0129,62.03866432337435
PAMPA_NCATS,0.9813,93.56766256590511
Pgp_Broccatelli,0.2495,65.48330404217927
SR-ARE,0.0819,39.156414762741655
SR-ATAD5,0.0134,57.188049209138846
SR-HSE,0.0136,47.065026362038665
SR-MMP,0.0994,64.28822495606327
SR-p53,0.0106,30.404217926186295
Skin_Reaction,0.3930,32.86467486818981
hERG,0.4295,59.050966608084366
Caco2_Wang,-4.3742,88.54130052724078
Clearance_Hepatocyte_AZ,69.9577,74.69244288224957
Clearance_Microsome_AZ,35.5833,58.62917398945519
Half_Life_Obach,12.9644,45.51845342706503
HydrationFreeEnergy_FreeSolv,-9.0401,76.59050966608085
LD50_Zhu,2.1796,33.35676625659051
Lipophilicity_AstraZeneca,2.1442,64.85061511423551
PPBR_AZ,83.4344,59.68365553602813
Solubility_AqSolDB,-3.5946,40.31634446397189
VDss_Lombardo,-0.8117,27.381370826010546
molecular_weight_drugbank_approved_percentile,35.9754,
logP_drugbank_approved_percentile,63.5149,
hydrogen_bond_acceptors_drugbank_approved_percentile,17.1002,
hydrogen_bond_donors_drugbank_approved_percentile,11.6344,
Lipinski_drugbank_approved_percentile,63.4446,
QED_drugbank_approved_percentile,87.8032,
stereo_centers_drugbank_approved_percentile,22.6011,
tpsa_drugbank_approved_percentile,16.4851,
PAINS_alert_drugbank_approved_percentile,47.5923,
BRENK_alert_drugbank_approved_percentile,25.8699,
NIH_alert_drugbank_approved_percentile,37.1880,
AMES_drugbank_approved_percentile,17.3286,
BBB_Martins_drugbank_approved_percentile,92.7944,
Bioavailability_Ma_drugbank_approved_percentile,83.3040,
CYP1A2_Veith_drugbank_approved_percentile,95.5009,
CYP2C19_Veith_drugbank_approved_percentile,95.9578,
CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,90.7909,
CYP2C9_Veith_drugbank_approved_percentile,90.3339,
CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,71.4587,
CYP2D6_Veith_drugbank_approved_percentile,60.0703,
CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,62.3550,
CYP3A4_Veith_drugbank_approved_percentile,62.9174,
Carcinogens_Lagunin_drugbank_approved_percentile,27.1353,
ClinTox_drugbank_approved_percentile,26.4675,
DILI_drugbank_approved_percentile,69.5606,
HIA_Hou_drugbank_approved_percentile,96.3445,
NR-AR-LBD_drugbank_approved_percentile,11.8102,
NR-AR_drugbank_approved_percentile,39.4376,
NR-AhR_drugbank_approved_percentile,79.3322,
NR-Aromatase_drugbank_approved_percentile,56.0633,
NR-ER-LBD_drugbank_approved_percentile,34.6924,
NR-ER_drugbank_approved_percentile,70.0527,
NR-PPAR-gamma_drugbank_approved_percentile,62.0387,
PAMPA_NCATS_drugbank_approved_percentile,93.5677,
Pgp_Broccatelli_drugbank_approved_percentile,65.4833,
SR-ARE_drugbank_approved_percentile,39.1564,
SR-ATAD5_drugbank_approved_percentile,57.1880,
SR-HSE_drugbank_approved_percentile,47.0650,
SR-MMP_drugbank_approved_percentile,64.2882,
SR-p53_drugbank_approved_percentile,30.4042,
Skin_Reaction_drugbank_approved_percentile,32.8647,
hERG_drugbank_approved_percentile,59.0510,
Caco2_Wang_drugbank_approved_percentile,88.5413,
Clearance_Hepatocyte_AZ_drugbank_approved_percentile,74.6924,
Clearance_Microsome_AZ_drugbank_approved_percentile,58.6292,
Half_Life_Obach_drugbank_approved_percentile,45.5185,
HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,76.5905,
LD50_Zhu_drugbank_approved_percentile,33.3568,
Lipophilicity_AstraZeneca_drugbank_approved_percentile,64.8506,
PPBR_AZ_drugbank_approved_percentile,59.6837,
Solubility_AqSolDB_drugbank_approved_percentile,40.3163,
VDss_Lombardo_drugbank_approved_percentile,27.3814,
